poet,title,dynasty,year_start,year_end,year_precision,period,historical_place,modern_city,province,lon,lat,source_name,source_url,source_note,fact_grade,status
李白,长干行·其一,唐,725,726,approximate,2,金陵长干里,南京市,江苏省,118.78,32.06,cnkgraph唐宋文学编年地图开放API+古诗文网创作背景,https://open.cnkgraph.com/api/Writing/25915,cnkgraph开放API（题作“杂曲歌辞 长干行”）系于725年、创作地南京（CN3201）；古诗文网创作背景（https://so.gushiwen.cn/shiwenv_2d0368e3fb76.aspx）：“此诗为李白初游金陵时所作，时间在唐玄宗开元十三年（725年）秋末之后不久”；工作假设约726年略偏晚，据两源取725-726区间，起点略早于本分期,B,candidate
李白,金陵酒肆留别,唐,726,726,approximate,2,金陵,南京市,江苏省,118.78,32.06,cnkgraph唐宋文学编年地图开放API+古诗文网创作背景,https://open.cnkgraph.com/api/Writing/26161,cnkgraph开放API系于726年春、创作地南京（CN3201）；古诗文网创作背景（https://so.gushiwen.cn/shiwenv_15684c1da05b.aspx）：开元十四年（726年）春李白将赴扬州、朋友于金陵酒肆饯行时作留别诗；两源一致,B,candidate
李白,静夜思,唐,726,727,disputed,2,扬州旅舍,扬州市,江苏省,119.42,32.39,古诗文网《静夜思》创作背景+cnkgraph唐宋文学编年地图开放API,https://so.gushiwen.cn/shiwenv_c35a60c1a8e2.aspx,古诗文网创作背景：726年（开元十四年）九月十五日作于扬州旅舍，时年26岁（so.gushiwen.cn跳转至guwendao.net镜像页核实）；cnkgraph开放API（https://open.cnkgraph.com/api/Writing/26460）则系于727年、创作地安陆（CN420982，今湖北安陆，安旗《李白全集编年注释》持此说）；726扬州与727安陆两说并存，故记disputed，主展示取工作假设726扬州说,B,candidate
李白,蜀道难,唐,731,731,disputed,2,长安,西安市,陕西省,108.95,34.27,cnkgraph唐宋文学编年地图开放API+古诗文网创作背景,https://open.cnkgraph.com/api/Writing/26435,系年争议大：一说开元十九年（731年）前后李白一入长安时作，cnkgraph开放API即系于731年、创作地西安（CN6101）；一说天宝初（742-744年）送友人入蜀时作；古诗文网创作背景（https://so.gushiwen.cn/shiwenv_d59ec5d6c91c.aspx）列四说（忧房琯杜甫说、讽玄宗幸蜀说、讽章仇兼琼说、纯咏山水说），仅能确定成诗下限为天宝十二载（753年）《河岳英灵集》编成之前,B,candidate
李白,将进酒,唐,736,752,disputed,4,嵩山颍阳山居（元丹丘处）,登封市,河南省,113.06,34.46,古诗文网《将进酒》创作背景+cnkgraph唐宋文学编年地图开放API,https://m.gushiwen.cn/shiwenv_ee16df5673bc.aspx,系年争议大：一说开元二十四年（736年）前后（郁贤皓说，古诗文网创作背景引），一说天宝十一载（752年）（黄锡珪说），与友人岑勋、元丹丘于嵩山颍阳山居置酒高会时作；cnkgraph开放API（https://open.cnkgraph.com/api/Writing/26453）题作“鼓吹曲辞 将进酒”，系于736年、创作地嵩山（CN410185，今登封市），年谱谓“与岑勋、元丹丘置酒高会，有诗”；736与752两说并存，取736-752区间记disputed，主展示取工作假设752说；本行按分期归入744-755期仅为工作口径,B,candidate
李白,客中作,唐,739,740,approximate,2,东鲁兰陵,临沂市,山东省,118.36,35.1,cnkgraph唐宋文学编年地图开放API+古诗文网创作背景,https://open.cnkgraph.com/api/Writing/25598,又题《客中作》；cnkgraph开放API系于740年、创作地区域标注济宁市（CN3708，李白东鲁寓家地）；古诗文网《客中作》创作背景（https://so.gushiwen.cn/shiwenv_22e73d066e9d.aspx）：当作于开元二十七年（739年）或二十八年（740年），李白初至东鲁后前往兰陵游览时作；兰陵故城在今临沂市兰陵县，modern_city按工作假设取临沂,B,candidate
李白,南陵别儿童入京,唐,742,742,exact,3,南陵（宣州南陵）,芜湖市南陵县,安徽省,118.33,30.92,古诗文网《南陵别儿童入京》创作背景+cnkgraph唐宋文学编年地图开放API,https://m.gushiwen.cn/shiwenv_b6447ef32a25.aspx,创作背景原文：公元742年（天宝元年），已经四十二岁的李白得到唐玄宗召他入京的诏书。他立刻回到南陵家中，与儿女告别，并写下这首诗。cnkgraph开放API（https://open.cnkgraph.com/api/Biography?Author=李白&BeginYear=742&EndYear=744）同系742年秋奉诏入京有此诗，但创作地标注东鲁曲阜一带（CN370881），注称旧说由宣州南陵入京、多位学者主张由东鲁入京；742年系年两源一致，作地有宣州南陵（今芜湖市南陵县）与东鲁两说，主展示取工作假设南陵说。奉诏入京，“仰天大笑出门去”——人生顶点。2026-07-26在线核实。,B,candidate
李白,清平调·其一,唐,743,743,approximate,3,长安兴庆宫沉香亭,西安市,陕西省,108.95,34.27,古诗文网《清平调·其一》创作背景+cnkgraph唐宋文学编年地图开放API,https://m.gushiwen.cn/shiwenv_170df91879a2.aspx,创作背景原文：公元743年（唐玄宗天宝二年）或公元744年（天宝三年）春天的一日，唐玄宗和杨贵妃在宫中的沉香亭观赏牡丹花时召翰林待诏李白进宫写新乐章，李白随即在金花笺上作了这三首诗，本首为其一。cnkgraph开放API（https://open.cnkgraph.com/api/Biography?Author=李白&BeginYear=742&EndYear=744）系《清平调三首》于743年暮春长安（CN6101），载玄宗与杨妃于兴庆池赏牡丹、命白作清平调词三章事；两源以743年（天宝二年）为主，古诗文网另存744年一说，故取743年、记approximate。供奉翰林之作。2026-07-26在线核实。,B,candidate
李白,月下独酌·其一,唐,744,744,approximate,3,长安,西安市,陕西省,108.95,34.27,古诗文网《月下独酌·其一》创作背景+cnkgraph唐宋文学编年地图开放API,https://m.gushiwen.cn/shiwenv_3185407c5519.aspx,创作背景原文：这首诗约作于公元744年（唐玄宗天宝三载），当时李白身居长安，正是官场失意之时；此诗题下两宋本、缪本俱注“长安”二字，意谓这四首诗作于长安。cnkgraph开放API（https://open.cnkgraph.com/api/Biography?Author=李白&BeginYear=744&EndYear=744）亦系《月下独酌四首》（含其一“花间一壶酒”）于744年长安（CN6101）；两源一致。翰林后期孤独之作。2026-07-26在线核实。,B,candidate
李白,梁园吟,唐,744,744,disputed,4,梁园（宋州梁园/平台）,商丘市,河南省,115.66,34.42,古诗文网《梁园吟》创作背景+cnkgraph唐宋文学编年地图开放API,https://m.gushiwen.cn/shiwenv_9670fda5d19d.aspx,系年有争议：古诗文网创作背景：“这首诗当作于唐玄宗天宝三载（744）诗人游大梁（今河南开封一带）和宋州（州治在今河南商丘）之时”，即赐金放还后与杜甫、高适同游梁宋时作；cnkgraph开放API（https://open.cnkgraph.com/api/Writing/26359）则系于731年初夏到宋城时作，并注郁贤皓主张作于开元二十一年（733年）离长安抵梁园时（《李太白全集校注》第835页）；744天宝三载说与731/733开元说并存，故记disputed，主展示取工作假设744说,B,candidate
