poet,title,dynasty,year_start,year_end,year_precision,period,historical_place,modern_city,province,lon,lat,source_name,source_url,source_note,fact_grade,status
白居易,长恨歌,唐,806,806,exact,1,盩厔仙游寺,西安市周至县,陕西省,108.228551,34.169587,cnkgraph唐宋文学编年地图开放API+古诗文网创作背景,https://open.cnkgraph.com/api/Writing/14415,cnkgraph开放API系于806年十二月、地仙游寺（CN610124）；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_09d31b73b44d.aspx）：元和元年（806）任盩厔县尉时与陈鸿、王质夫游仙游寺谈及李杨旧事后作；与已审核记录（806年）一致。,B,superseded_by_verified
白居易,琵琶行,唐,816,816,exact,3,江州湓浦口,九江市,江西省,116.007993,29.711328,cnkgraph唐宋文学编年地图开放API+古诗文网创作背景,https://open.cnkgraph.com/api/Writing/15104,cnkgraph开放API系于816年、地湓浦口（CN3604）；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_0581b0ba8bb4.aspx）：元和十年（815）贬江州司马、次年（816）秋送客湓浦口作；作者自序同；与已审核记录（816年，审核级A）一致。,B,superseded_by_verified
白居易,钱塘湖春行,唐,823,824,approximate,4,钱塘湖（西湖）,杭州市,浙江省,120.16,30.29,cnkgraph唐宋文学编年地图开放API+古诗文网创作背景,https://open.cnkgraph.com/api/Writing/13842,cnkgraph开放API（题作“钱唐湖春行”）系于823年、地杭州（CN3301）；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_af218ed70405.aspx）：长庆二年（822）七月任杭州刺史，诗写于长庆三、四年（823、824）间春天；取823-824区间。,B,candidate
白居易,赋得古原草送别,唐,787,788,disputed,1,,,,,,古诗文网创作背景,https://www.gushiwen.cn/shiwenv_b7820a12ebaa.aspx,古诗文网创作背景：“作于唐德宗贞元三年（公元788年），作者当时只有十六岁”，应考习作——按贞元三年实为787年，与括注788年两说并存，取787-788区间；cnkgraph开放API该篇（Writing/13980）未系年；创作地点无定说（时年少居江南一带），坐标留空。,B,candidate
白居易,问刘十九,唐,817,817,disputed,3,江州,九江市,江西省,115.99,29.71,cnkgraph唐宋文学编年地图开放API+古诗文网创作背景,https://open.cnkgraph.com/api/Writing/12651,cnkgraph开放API系于817年、地九江（CN3604）；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_d09fef17613b.aspx）则主张晚年隐居洛阳思友时作，并记“也有人认为此诗作于元和十二年（817）”——817江州说与晚年洛阳说并存，此处从cnkgraph取817并按江州期归期；坐标取place_dict江州。,B,candidate
白居易,大林寺桃花,唐,817,817,exact,3,庐山大林寺,九江市,江西省,115.718453,29.349474,cnkgraph唐宋文学编年地图开放API+古诗文网创作背景,https://open.cnkgraph.com/api/Writing/12410,cnkgraph开放API系于817年、地大林寺（CN3604）；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_5e26797704a7.aspx）仅述纪游内容未给年份；与已审核记录（817年）一致。,B,superseded_by_verified
白居易,卖炭翁,唐,809,809,approximate,2,长安,西安市,陕西省,108.95,34.27,cnkgraph唐宋文学编年地图开放API+古诗文网创作背景,https://open.cnkgraph.com/api/Writing/15159,cnkgraph开放API（题作“新乐府 卖炭翁 苦官市也”）系于809年、地长安（CN6101）；古诗文网创作背景（https://www.gushiwen.cn/shiwenv_2716dfb4d439.aspx）：《新乐府》组诗第三十二首，“写作《新乐府》是在元和初年（806），这正是宫市为害最深的时候”——元和初年为泛指，从cnkgraph取809年。,B,candidate
白居易,梦微之,唐,840,840,exact,5,洛阳,洛阳市,河南省,112.45,34.62,古诗文网创作背景,https://www.gushiwen.cn/shiwenv_de2ba4e71def.aspx,古诗文网创作背景：开成五年（840）白居易六十九岁大病初愈，夜梦元稹（卒于831年）后作，与诗中“咸阳宿草八回秋”相合；cnkgraph开放API该篇（Writing/13917）未系年；创作地按其时退居洛阳推定，坐标取place_dict洛阳。,B,candidate
白居易,暮江吟,唐,822,822,approximate,4,赴杭州途中,,,,,古诗文网创作背景,https://www.gushiwen.cn/shiwenv_0daa9748bcb5.aspx,古诗文网创作背景：“大约是公元822年（长庆二年）白居易在赴杭州任刺史的途中写的”；cnkgraph开放API该篇（Writing/13107）未系年；途中之作无定点，坐标留空。,B,candidate
白居易,忆江南,唐,837,837,approximate,5,洛阳,洛阳市,河南省,112.45,34.62,古诗文网创作背景,https://www.gushiwen.cn/shiwenv_6ad0636b01a9.aspx,古诗文网创作背景：据刘禹锡和词小序及其开成二年（837）初夏洛阳唱和，推断白氏《忆江南》三首亦作于开成二年初夏，系推断故取approximate；cnkgraph开放API（Writing/15280“忆江南 其一”）未系年；语料此条为三首之第一首。,B,candidate
